Enter to start.
Steppers ready.
Wavelength: 405nm
Warming up the ADCs.
Scanned area is 5.00 by 5.00 mm. Resolution is 100 µm.

Legend: run_number,wavelength,x_position,y_position,measured_voltage,logic_level

1,405nm,-2.50,-2.50,3.24,1
1,405nm,-2.50,-2.40,3.25,1
1,405nm,-2.50,-2.30,3.25,1
1,405nm,-2.50,-2.20,3.25,1
1,405nm,-2.50,-2.10,3.25,1
1,405nm,-2.50,-2.00,3.25,1
1,405nm,-2.50,-1.90,3.24,1
1,405nm,-2.50,-1.80,3.24,1
1,405nm,-2.50,-1.70,3.24,1
1,405nm,-2.50,-1.60,3.23,1
1,405nm,-2.50,-1.50,3.22,1
1,405nm,-2.50,-1.40,3.20,1
1,405nm,-2.50,-1.30,3.18,1
1,405nm,-2.50,-1.20,3.15,1
1,405nm,-2.50,-1.10,3.10,1
1,405nm,-2.50,-1.00,3.05,1
1,405nm,-2.50,-0.90,2.99,1
1,405nm,-2.50,-0.80,2.91,1
1,405nm,-2.50,-0.70,2.83,1
1,405nm,-2.50,-0.60,2.74,1
1,405nm,-2.50,-0.50,2.66,1
1,405nm,-2.50,-0.40,2.59,1
1,405nm,-2.50,-0.30,2.52,1
1,405nm,-2.50,-0.20,2.47,1
1,405nm,-2.50,-0.10,2.43,1
1,405nm,-2.50,-0.00,2.40,1
1,405nm,-2.50,0.10,2.40,1
1,405nm,-2.50,0.20,2.42,1
1,405nm,-2.50,0.30,2.45,1
1,405nm,-2.50,0.40,2.51,1
1,405nm,-2.50,0.50,2.58,1
1,405nm,-2.50,0.60,2.64,1
1,405nm,-2.50,0.70,2.72,1
1,405nm,-2.50,0.80,2.81,1
1,405nm,-2.50,0.90,2.90,1
1,405nm,-2.50,1.00,2.99,1
1,405nm,-2.50,1.10,3.07,1
1,405nm,-2.50,1.20,3.13,1
1,405nm,-2.50,1.30,3.18,1
1,405nm,-2.50,1.40,3.21,1
1,405nm,-2.50,1.50,3.23,1
1,405nm,-2.50,1.60,3.23,1
1,405nm,-2.50,1.70,3.24,1
1,405nm,-2.50,1.80,3.24,1
1,405nm,-2.50,1.90,3.25,1
1,405nm,-2.50,2.00,3.25,1
1,405nm,-2.50,2.10,3.25,1
1,405nm,-2.50,2.20,3.25,1
1,405nm,-2.50,2.30,3.25,1
1,405nm,-2.50,2.40,3.25,1
1,405nm,-2.40,-2.50,3.25,1
1,405nm,-2.40,-2.40,3.25,1
1,405nm,-2.40,-2.30,3.25,1
1,405nm,-2.40,-2.20,3.25,1
1,405nm,-2.40,-2.10,3.25,1
1,405nm,-2.40,-2.00,3.25,1
1,405nm,-2.40,-1.90,3.24,1
1,405nm,-2.40,-1.80,3.24,1
1,405nm,-2.40,-1.70,3.23,1
1,405nm,-2.40,-1.60,3.21,1
1,405nm,-2.40,-1.50,3.19,1
1,405nm,-2.40,-1.40,3.17,1
1,405nm,-2.40,-1.30,3.13,1
1,405nm,-2.40,-1.20,3.07,1
1,405nm,-2.40,-1.10,3.00,1
1,405nm,-2.40,-1.00,2.91,1
1,405nm,-2.40,-0.90,2.81,1
1,405nm,-2.40,-0.80,2.70,1
1,405nm,-2.40,-0.70,2.58,1
1,405nm,-2.40,-0.60,2.46,1
1,405nm,-2.40,-0.50,2.37,0
1,405nm,-2.40,-0.40,2.28,0
1,405nm,-2.40,-0.30,2.21,0
1,405nm,-2.40,-0.20,2.14,0
1,405nm,-2.40,-0.10,2.10,0
1,405nm,-2.40,-0.00,2.06,0
1,405nm,-2.40,0.10,2.05,0
1,405nm,-2.40,0.20,2.04,0
1,405nm,-2.40,0.30,2.08,0
1,405nm,-2.40,0.40,2.13,0
1,405nm,-2.40,0.50,2.20,0
1,405nm,-2.40,0.60,2.28,0
1,405nm,-2.40,0.70,2.37,0
1,405nm,-2.40,0.80,2.49,1
1,405nm,-2.40,0.90,2.62,1
1,405nm,-2.40,1.00,2.76,1
1,405nm,-2.40,1.10,2.89,1
1,405nm,-2.40,1.20,3.01,1
1,405nm,-2.40,1.30,3.10,1
1,405nm,-2.40,1.40,3.16,1
1,405nm,-2.40,1.50,3.19,1
1,405nm,-2.40,1.60,3.21,1
1,405nm,-2.40,1.70,3.23,1
1,405nm,-2.40,1.80,3.24,1
1,405nm,-2.40,1.90,3.24,1
1,405nm,-2.40,2.00,3.24,1
1,405nm,-2.40,2.10,3.25,1
1,405nm,-2.40,2.20,3.25,1
1,405nm,-2.40,2.30,3.25,1
1,405nm,-2.40,2.40,3.25,1
1,405nm,-2.30,-2.50,3.25,1
1,405nm,-2.30,-2.40,3.25,1
1,405nm,-2.30,-2.30,3.25,1
1,405nm,-2.30,-2.20,3.25,1
1,405nm,-2.30,-2.10,3.25,1
1,405nm,-2.30,-2.00,3.24,1
1,405nm,-2.30,-1.90,3.23,1
1,405nm,-2.30,-1.80,3.23,1
1,405nm,-2.30,-1.70,3.21,1
1,405nm,-2.30,-1.60,3.18,1
1,405nm,-2.30,-1.50,3.14,1
1,405nm,-2.30,-1.40,3.09,1
1,405nm,-2.30,-1.30,3.02,1
1,405nm,-2.30,-1.20,2.93,1
