Enter to start.
Steppers ready.
Wavelength: 405nm
Warming up the ADCs.
Scanned area is 5.00 by 5.00 mm. Resolution is 100 µm.

Legend: run_number,wavelength,x_position,y_position,measured_voltage,logic_level

1,405nm,-2.50,-2.50,3.23,1
1,405nm,-2.50,-2.40,3.25,1
1,405nm,-2.50,-2.30,3.25,1
1,405nm,-2.50,-2.20,3.25,1
1,405nm,-2.50,-2.10,3.25,1
1,405nm,-2.50,-2.00,3.25,1
1,405nm,-2.50,-1.90,3.24,1
1,405nm,-2.50,-1.80,3.25,1
1,405nm,-2.50,-1.70,3.25,1
1,405nm,-2.50,-1.60,3.25,1
1,405nm,-2.50,-1.50,3.25,1
1,405nm,-2.50,-1.40,3.25,1
1,405nm,-2.50,-1.30,3.25,1
1,405nm,-2.50,-1.20,3.24,1
1,405nm,-2.50,-1.10,3.25,1
1,405nm,-2.50,-1.00,3.25,1
1,405nm,-2.50,-0.90,3.25,1
1,405nm,-2.50,-0.80,3.25,1
1,405nm,-2.50,-0.70,3.25,1
1,405nm,-2.50,-0.60,3.25,1
1,405nm,-2.50,-0.50,3.25,1
1,405nm,-2.50,-0.40,3.25,1
1,405nm,-2.50,-0.30,3.25,1
1,405nm,-2.50,-0.20,3.25,1
1,405nm,-2.50,-0.10,3.24,1
1,405nm,-2.50,-0.00,3.24,1
1,405nm,-2.50,0.10,3.25,1
1,405nm,-2.50,0.20,3.24,1
1,405nm,-2.50,0.30,3.24,1
1,405nm,-2.50,0.40,3.24,1
1,405nm,-2.50,0.50,3.24,1
1,405nm,-2.50,0.60,3.24,1
1,405nm,-2.50,0.70,3.24,1
1,405nm,-2.50,0.80,3.24,1
1,405nm,-2.50,0.90,3.25,1
1,405nm,-2.50,1.00,3.25,1
1,405nm,-2.50,1.10,3.25,1
1,405nm,-2.50,1.20,3.25,1
1,405nm,-2.50,1.30,3.25,1
1,405nm,-2.50,1.40,3.25,1
1,405nm,-2.50,1.50,3.24,1
1,405nm,-2.50,1.60,3.25,1
1,405nm,-2.50,1.70,3.25,1
1,405nm,-2.50,1.80,3.25,1
1,405nm,-2.50,1.90,3.25,1
1,405nm,-2.50,2.00,3.25,1
1,405nm,-2.50,2.10,3.24,1
1,405nm,-2.50,2.20,3.25,1
1,405nm,-2.50,2.30,3.25,1
1,405nm,-2.50,2.40,3.25,1
